well,count
1/2-1,7998
1/3-1,3097
1/3-3,2709
1/3-8,1319
1/3-9 ST2,362
1/5-2,4983
1/5-4 S,16014
1/6-4,4503
1/6-6,2810
1/6-6 T2,2068
15/12-1,2654
15/12-17 A,2708
15/12-17 S,1541
15/12-18 A,4959
15/12-18 S,1921
15/12-21,3635
15/12-21 A,1197
15/12-8,2788
15/12-9 S,5972
15/2-1,2307
15/3-1 S,1062
15/3-11,5056
15/3-2 R,7008
15/3-3,1530
15/3-4,11346
15/3-5,8248
15/3-7,4274
15/3-9 T2,4855
15/5-2,7728
15/5-3,13592
15/5-7,25154
15/5-7 A,6057
15/5-7 AT2,9446
15/6-11 A,12937
15/6-11 S,6441
15/6-12,115
15/6-3,8732
15/6-5,2011
15/6-6,2628
15/6-7,5780
15/6-8 A,2400
15/6-8 S,4419
15/8-1,13107
15/9-1,5490
15/9-10,14579
15/9-11,5752
15/9-13,10165
15/9-14,6222
15/9-15,862
15/9-16,364
15/9-17,2205
15/9-18,5921
15/9-19 A,3747
15/9-19 B,13231
15/9-19 BT2,6247
15/9-19 S,1445
15/9-21 S,4975
15/9-22 T2,7367
15/9-3,11505
15/9-4,3574
15/9-7,8264
15/9-8,8795
15/9-9,11590
15/9-A-10,5462
15/9-A-11,3126
15/9-A-12,5069
15/9-A-13,3393
15/9-A-15,6369
15/9-A-19,2748
15/9-A-20,3145
15/9-A-21,4258
15/9-A-22,2874
15/9-A-23,1376
15/9-A-24,5163
15/9-A-25,5077
15/9-A-26,3489
15/9-A-27,4922
15/9-A-4,1802
15/9-A-7,1681
15/9-A-8,7080
15/9-B-11,3349
15/9-B-20 T4,2569
15/9-B-22 A,1705
15/9-B-22 T4,3636
15/9-B-3,3121
15/9-B-4,3608
15/9-C-2 AH,1201
15/9-C-2 AHT2,7788
15/9-C-2 H,5489
15/9-E-1 H,9004
15/9-E-2 H,13029
15/9-E-3 H,8965
15/9-E-4 H,6871
16/1-1,3811
16/1-13,4
16/1-18,2257
16/1-2,4154
16/1-23 S,14783
16/1-3,7344
16/1-5,4491
16/1-7,5761
16/1-8,6884
16/2-10,2849
16/2-12,3635
16/2-14,3621
16/2-14 T2,3763
16/2-15,5434
16/2-17 B,8666
16/2-17 S,4436
16/2-18 S,4727
16/2-19,6052
16/2-19 A,4228
16/2-5,5380
16/2-8,2014
16/2-9 S,3811
16/3-2,16447
16/3-3,15969
16/3-5,280
16/3-6,6124
16/4-1,759
16/4-7,3121
17/4-1,934
2/1-10,3416
2/3-1,5777
2/4-A-8,7046
2/4-B-19,3286
2/4-B-19 A,10618
2/4-C-11,15378
2/5-13,2214
2/7-14,7257
24/12-1,11057
24/12-2,2342
25/1-1,7488
25/10-12 ST2,4608
25/10-2,10725
25/10-2 R,1347
25/10-3,2424
25/10-4,7233
25/10-6 S,4909
25/10-8,3356
25/10-8 A,7150
25/11-12,3125
25/11-15,1796
25/11-17,1270
25/11-19 S,2367
25/11-24,5406
25/11-25 A,4571
25/11-26,3388
25/11-28,3082
25/11-3,595
25/11-4,1022
25/11-5,2503
25/11-9,2186
25/12-1,10162
25/2-13,2177
25/2-14,4133
25/2-16 S,4056
25/2-4,8293
25/2-7,4406
25/3-1,3061
25/4-1,5073
25/4-5,3771
25/4-6 S,3870
25/5-1,5109
25/5-2,6942
25/5-2 T2,4189
25/5-7,9865
25/5-A-9,2512
25/6-2,4399
25/7-1 S,8312
25/7-2,2460
25/8-10 S,2731
25/8-10 ST2,2138
25/8-11,8545
25/8-12 A,2752
25/8-12 S,2391
25/8-14 ST2,5013
25/8-15 S,8028
25/8-2,2144
25/8-7,9820
25/8-9,10556
25/8-9 A,6116
25/9-1,8070
25/9-2 S,5161
25/9-3,5237
29/6-1,1185
3/7-3,18717
30/11-10,3612
30/11-10 A,4678
30/11-11 A,7699
30/11-11 S,9244
30/11-12 A,3629
30/11-12 S,13252
30/11-13,8044
30/11-14,10505
30/11-14 B,8572
30/11-3,19386
30/11-4,211
30/11-5,3309
30/12-1,6078
30/12-1 T2,9267
30/2-1,564
30/7-7,2564
30/9-16,5139
32/4-1,3314
32/4-1 T2,5400
33/12-9 S,8357
33/2-2 S,685
33/9-6,6070
34/10-13,10289
34/10-18,1658
34/10-30,1966
34/10-34,3054
34/4-4,2532
34/4-5,2369
34/4-7,4876
34/7-6,5908
34/7-9,8273
34/8-15 S,4048
34/8-17 S,6364
34/8-18 S,3797
34/8-4 S,1017
35/3-2,4319
35/3-4,2972
35/3-5,2233
36/7-2,2944
6/3-1,4100
6/3-2,3350
6201/11-1,1596
6201/11-2,3438
6204/10-1,3834
6204/10-2,5434
6204/10-2 A,7787
6204/10-2 R,2690
6204/11-1,4486
6204/11-2,4432
6205/3-1,1752
6205/3-1 R,326
6305/1-1,5710
6305/1-1 T2,3314
6305/4-1,4030
6305/5-1,5018
6406/1-2,3703
6406/2-1,1855
6406/2-2,2805
6406/2-3,5211
6406/2-3 T2,1182
6406/2-3 T3,276
6406/3-6,9250
6407/1-2,1274
6407/1-3,1118
6407/1-4,3368
6407/10-3,3073
6407/10-4,109
6407/2-1,1816
6407/6-1,1124
6407/6-4,5172
6407/6-5,8594
6407/6-6,5855
6407/7-1 S,1628
6407/7-2,7621
6407/7-3,2325
6407/7-4,4467
6407/7-9 S,4884
6506/11-6,3053
6506/11-7,6535
6506/12-2,1228
6506/12-5,3304
6506/6-1,11014
6507/2-2,3264
6507/3-1,2958
6507/5-3,14870
6507/6-1,1616
6507/6-2,3546
6507/6-3,10581
6507/6-4 A,1533
6507/7-2,3780
6507/7-3,4021
6507/7-4,8270
6507/7-5,5912
6507/7-A-28 B,4028
6507/8-2,1135
6507/8-8,8236
6610/2-1 S,11897
6610/3-1,6520
6706/6-1,3975
6706/6-2 S,3168
7/1-1,5057
7/1-2 S,4688
7/11-10 S,2417
7/11-7,247
7/11-9,3272
7/12-11,11717
7/8-4,2171
7117/9-1,2811
7117/9-2,3146
7119/12-1,6652
7119/12-2,4317
7119/12-3,3869
7119/7-1,3739
7119/9-1,5688
7120/1-4 S,4111
7120/12-2,3508
7120/2-3 S,3534
7122/6-1,5330
7122/6-2,2081
7124/3-1,7231
7124/4-1 S,3092
7127/10-U-3,8627
7128/4-1,6398
7220/11-1,2870
7220/11-2 A,2526
7220/11-3,4153
