well,count,scans
1/2-1,10574,31
1/3-1,5944,27
1/3-3,7226,36
1/3-8,4250,6
1/3-9 ST2,1854,16
1/5-2,6498,24
1/5-4 S,17230,28
1/6-4,5936,41
1/6-6,4230,34
1/6-6 T2,6367,5
15/12-1,5329,46
15/12-17 A,5135,16
15/12-17 S,3903,18
15/12-18 A,7896,24
15/12-18 S,3480,17
15/12-21,6634,18
15/12-21 A,4340,13
15/12-8,6690,44
15/12-9 S,12425,28
15/2-1,5678,29
15/3-1 S,9448,9
15/3-11,10588,47
15/3-2 R,15281,22
15/3-3,5226,13
15/3-4,14796,10
15/3-5,16380,16
15/3-7,10644,49
15/3-9 T2,9615,36
15/5-2,10183,2
15/5-3,16888,44
15/5-7,33490,44
15/5-7 A,16770,29
15/5-7 AT2,23804,40
15/6-11 A,21192,29
15/6-11 S,14643,29
15/6-12,709,1
15/6-3,14353,23
15/6-5,8609,1
15/6-6,4269,33
15/6-7,7858,37
15/6-8 A,3846,18
15/6-8 S,6023,28
15/8-1,26637,25
15/9-1,7078,43
15/9-10,28401,13
15/9-11,8063,29
15/9-13,15932,30
15/9-14,16589,19
15/9-15,4367,23
15/9-16,988,3
15/9-17,4677,1
15/9-18,17500,25
15/9-19 A,6413,48
15/9-19 B,19950,11
15/9-19 BT2,9498,31
15/9-19 S,4057,22
15/9-21 S,8782,35
15/9-22 T2,13271,23
15/9-3,16090,24
15/9-4,5401,21
15/9-7,9409,19
15/9-8,16497,28
15/9-9,25296,23
15/9-A-10,6523,13
15/9-A-11,5765,18
15/9-A-12,7492,30
15/9-A-13,5605,28
15/9-A-15,8025,32
15/9-A-19,4004,31
15/9-A-20,4252,28
15/9-A-21,5841,22
15/9-A-22,6053,18
15/9-A-23,2946,23
15/9-A-24,6767,12
15/9-A-25,9044,13
15/9-A-26,6407,22
15/9-A-27,6125,7
15/9-A-4,4956,1
15/9-A-7,7254,19
15/9-A-8,9558,42
15/9-B-11,4694,39
15/9-B-20 T4,4142,46
15/9-B-22 A,2631,35
15/9-B-22 T4,5950,40
15/9-B-3,4933,29
15/9-B-4,8479,29
15/9-C-2 AH,6053,9
15/9-C-2 AHT2,9601,16
15/9-C-2 H,10552,15
15/9-E-1 H,10717,30
15/9-E-2 H,15549,25
15/9-E-3 H,11707,27
15/9-E-4 H,8559,38
16/1-1,5448,1
16/1-13,244,5
16/1-18,3100,1
16/1-2,7027,27
16/1-23 S,18440,1
16/1-3,12369,41
16/1-5,7586,30
16/1-7,8393,24
16/1-8,8473,31
16/2-10,5461,35
